"","superkingdom","phylum","class","order","family","genus","species"
"species:Enterococcus faecium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecium"
"species:Veillonella dispar","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella dispar"
"species:Actinomyces sp. oral taxon 181","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. oral taxon 181"
"species:Clostridium paraputrificum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium paraputrificum"
"species:Klebsiella quasipneumoniae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasipneumoniae"
"species:Klebsiella variicola","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella variicola"
"species:Clostridium perfringens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium perfringens"
"species:Streptococcus parasanguinis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis"
"species:Veillonella infantium","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella infantium"
"species:Streptococcus vestibularis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus vestibularis"
"genus:Enterobacter","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter",NA
"species:Bifidobacterium pseudolongum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudolongum"
"species:[Clostridium] leptum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Clostridium] leptum"
"species:Raoultella ornithinolytica","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica"
"species:Streptococcus mitis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mitis"
"species:Rothia mucilaginosa","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia mucilaginosa"
"species:Enterococcus avium","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus avium"
"species:Lactobacillus paragasseri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus paragasseri"
"species:Cutibacterium acnes","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium acnes"
"species:Kluyvera cryocrescens","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kluyvera","Kluyvera cryocrescens"
"species:Veillonella sp. T11011-6","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella sp. T11011-6"
"species:Lactobacillus gasseri","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus gasseri"
"species:Schaalia odontolytica","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica"
"species:Veillonella seminalis","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella seminalis"
"species:Haemophilus parainfluenzae","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus parainfluenzae"
"species:Streptococcus infantis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus infantis"
"species:Haemophilus sp. HMSC71H05","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus sp. HMSC71H05"
"species:Erysipelatoclostridium ramosum","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium ramosum"
"species:Streptococcus peroris","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus peroris"
"species:Parascardovia denticolens","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Parascardovia","Parascardovia denticolens"
"species:Streptococcus oralis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus oralis"
"species:Fusobacterium periodonticum","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium periodonticum"
"species:Citrobacter freundii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter freundii"
"species:Citrobacter youngae","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter youngae"
"species:Gemella haemolysans","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella haemolysans"
"species:Streptococcus sp. A12","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. A12"
"species:Citrobacter werkmanii","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter werkmanii"
"species:Gemella sanguinis","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella sanguinis"
"species:Prevotella bivia","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella bivia"
"species:Aggregatibacter segnis","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter segnis"
"species:Streptococcus australis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus australis"
"species:Gemella morbillorum","Bacteria","Firmicutes","Bacilli","Bacillales",NA,"Gemella","Gemella morbillorum"
"species:Phocaeicola vulgatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola vulgatus"
"species:Clostridium butyricum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium butyricum"
"species:Bifidobacterium pseudocatenulatum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudocatenulatum"
"species:Pediococcus acidilactici","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus acidilactici"
"species:Lacticaseibacillus rhamnosus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus rhamnosus"
"species:Klebsiella oxytoca","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella oxytoca"
"species:Eggerthella lenta","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella lenta"
"species:Enterococcus casseliflavus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus casseliflavus"
"species:Clostridium neonatale","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium neonatale"
"species:Gordonibacter pamelaeae","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae"
"species:Dickeya fangzhongdai","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya fangzhongdai"
"species:Intestinibacter bartlettii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinibacter","Intestinibacter bartlettii"
"species:[Clostridium] spiroforme","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","[Clostridium] spiroforme"
"species:Enterococcus gallinarum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus gallinarum"
"species:Aeriscardovia aeriphila","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Aeriscardovia","Aeriscardovia aeriphila"
"species:Dickeya chrysanthemi","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya chrysanthemi"
"species:Finegoldia magna","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna"
"species:Enterococcus dispar","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus dispar"
"species:Klebsiella michiganensis","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella michiganensis"
"species:Cellulosilyticum lentocellum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Cellulosilyticum","Cellulosilyticum lentocellum"
"species:Prevotella buccae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella buccae"
"species:Adlercreutzia caecimuris","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia caecimuris"
"species:Actinomyces urogenitalis","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces urogenitalis"
"species:Varibaculum cambriense","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Varibaculum","Varibaculum cambriense"
"species:Corynebacterium accolens","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium accolens"
"species:Raoultella planticola","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","Raoultella planticola"
"species:Corynebacterium pseudodiphtheriticum","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium pseudodiphtheriticum"
"species:Streptococcus sp. HMSC071D03","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. HMSC071D03"
"species:Dolosigranulum pigrum","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","Dolosigranulum pigrum"
"species:Corynebacterium pseudogenitalium","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium pseudogenitalium"
"species:Alistipes finegoldii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes finegoldii"
"species:Prevotella copri","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella copri"
"species:Alistipes putredinis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes putredinis"
"species:Bacteroides uniformis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides uniformis"
"species:Phocaeicola dorei","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola dorei"
"species:Parabacteroides merdae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides merdae"
"species:Bacteroides intestinalis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides intestinalis"
"species:Phocaeicola plebeius","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola plebeius"
"species:Eubacterium sp. CAG:251","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:251"
"species:Bacteroides caccae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae"
"species:Bacteroides clarus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides clarus"
"species:Ruminococcus bromii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bromii"
"species:Odoribacter splanchnicus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter","Odoribacter splanchnicus"
"species:[Eubacterium] rectale","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae",NA,"[Eubacterium] rectale"
"species:Parasutterella excrementihominis","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Parasutterella excrementihominis"
"species:Roseburia hominis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia hominis"
"species:Bacteroides ovatus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides ovatus"
"species:Holdemanella biformis","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella","Holdemanella biformis"
"species:Faecalibacterium prausnitzii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Faecalibacterium","Faecalibacterium prausnitzii"
"species:Bacteroides salyersiae","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides salyersiae"
"species:Akkermansia muciniphila","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia muciniphila"
"species:Parabacteroides goldsteinii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides goldsteinii"
"species:Eubacterium sp. CAG:38","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:38"
"species:Alistipes inops","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes inops"
"species:Alistipes shahii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii"
"species:Bacteroides eggerthii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides eggerthii"
"species:Coprococcus eutactus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus eutactus"
"species:Ruminococcus sp. CAG:488","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:488"
"species:Dialister invisus","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister invisus"
"species:Oscillibacter sp. 57_20","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. 57_20"
"species:Coprobacter secundus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter secundus"
"species:Ruthenibacterium lactatiformans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium lactatiformans"
"species:Roseburia intestinalis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia intestinalis"
"species:Roseburia sp. CAG:182","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia sp. CAG:182"
"species:Firmicutes bacterium CAG:110","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:110"
"species:Lachnospira eligens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira eligens"
"species:Firmicutes bacterium CAG:95","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:95"
"species:Streptococcus thermophilus","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus thermophilus"
"species:Firmicutes bacterium CAG:534","Bacteria","Firmicutes",NA,NA,NA,NA,"Firmicutes bacterium CAG:534"
"species:Eubacterium ventriosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ventriosum"
"species:Coprococcus comes","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus comes"
"species:Bifidobacterium adolescentis","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis"
"species:Oscillibacter sp. CAG:241","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. CAG:241"
"species:Alistipes indistinctus","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes indistinctus"
"species:Turicimonas muris","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Turicimonas","Turicimonas muris"
"species:Bilophila wadsworthia","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia"
"species:Roseburia inulinivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia inulinivorans"
"species:Proteobacteria bacterium CAG:139","Bacteria","Proteobacteria",NA,NA,NA,NA,"Proteobacteria bacterium CAG:139"
"species:Ruminococcus sp. CAG:624","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:624"
"species:Fusicatenibacter saccharivorans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter saccharivorans"
"species:Gemmiger formicilis","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,"Gemmiger","Gemmiger formicilis"
"species:Lawsonibacter asaccharolyticus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","Lawsonibacter asaccharolyticus"
"species:Ruminococcaceae bacterium D5","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"Ruminococcaceae bacterium D5"
"species:Clostridium sp. CAG:58","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:58"
"species:Dorea longicatena","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea longicatena"
"species:Clostridium sp. CAG:167","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. CAG:167"
"species:Blautia obeum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia obeum"
"species:Methanobrevibacter smithii","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter smithii"
"species:Anaeromassilibacillus sp. An250","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaeromassilibacillus","Anaeromassilibacillus sp. An250"
"species:Intestinimonas butyriciproducens","Bacteria","Firmicutes","Clostridia","Eubacteriales",NA,"Intestinimonas","Intestinimonas butyriciproducens"
"species:Ruminococcus sp. CAG:403","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus sp. CAG:403"
"species:Bacteroides xylanisolvens","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides xylanisolvens"
"species:Alistipes timonensis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes timonensis"
"species:Oxalobacter formigenes","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter formigenes"
"species:Adlercreutzia equolifaciens","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens"
"species:Adlercreutzia equolifaciens_1","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia equolifaciens"
"species:[Eubacterium] siraeum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae",NA,"[Eubacterium] siraeum"
"species:Butyricimonas virosa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas virosa"
"species:Blautia wexlerae","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia wexlerae"
"species:Anaerostipes hadrus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus"
"species:Anaerobutyricum hallii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii"
"species:Ruminococcus bicirculans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus bicirculans"
"species:Eubacterium ramulus","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium ramulus"
"species:Collinsella aerofaciens","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens"
"species:Eubacterium sp. CAG:180","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium sp. CAG:180"
"species:Bifidobacterium angulatum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum"
"species:Sellimonas intestinalis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Sellimonas","Sellimonas intestinalis"
"species:Actinomyces naeslundii","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces naeslundii"
"species:Flavonifractor plautii","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor plautii"
"species:Actinomyces oris","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces oris"
"species:Bifidobacterium catenulatum","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium catenulatum"
"species:Enorma massiliensis","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma massiliensis"
"species:Collinsella intestinalis","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella intestinalis"
"species:[Clostridium] symbiosum","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium] symbiosum"
"species:Phascolarctobacterium succinatutens","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium succinatutens"
"species:Acidaminococcus intestini","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus intestini"
"species:Bacteroides stercoris","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides stercoris"
"species:Roseburia faecis","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia faecis"
"species:Barnesiella intestinihominis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Barnesiellaceae","Barnesiella","Barnesiella intestinihominis"
"species:Bacteroides finegoldii","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides finegoldii"
"species:Parabacteroides distasonis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides distasonis"
"species:Paraprevotella xylaniphila","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella xylaniphila"
"species:Bacteroides thetaiotaomicron","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides thetaiotaomicron"
"species:Phocaeicola massiliensis","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola massiliensis"
"species:Blastocystis sp. subtype 1","Eukaryota",NA,"Bigyra","Opalinata","Blastocystidae","Blastocystis","Blastocystis sp. subtype 1"
"species:[Ruminococcus] torques","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus] torques"
"species:Agathobaculum butyriciproducens","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum butyriciproducens"
"species:Butyricimonas synergistica","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas synergistica"
"species:Paraprevotella clara","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella clara"
"species:Dorea formicigenerans","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea formicigenerans"
"species:Lachnospira pectinoschiza","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira pectinoschiza"
