gene_symbol,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
AURKB,-0.007556768134236336,-0.0017811442958191037,0.010955680161714554,-0.015722030773758888,0.0003079004236496985,0.016803212463855743,-0.005133653525263071,0.019664565101265907,0.05360165610909462,0.004836511332541704,0.022432764992117882,-0.01898377761244774,-0.004720831289887428,-0.027834754437208176,0.08079398423433304,0.03897171467542648,-0.02139395847916603,0.07745072990655899,0.03338855132460594,-0.051087673753499985,-0.03231195732951164,0.12606100738048553,-0.0983356162905693,-0.1442558318376541,-0.06520872563123703,0.03450389206409454,0.03026038035750389,-0.12904785573482513,-0.02225681208074093,-0.009752776473760605,-0.06312347948551178,-0.03709615394473076,-0.034704484045505524,-0.08253910392522812,0.04896324500441551,0.010127407498657703,0.03704000636935234,0.059111300855875015,-0.0067662871442735195,-0.025878045707941055,-0.009045008569955826,0.11622997373342514,0.055909328162670135,0.0015782049158588052,-0.08842945843935013,-0.18241149187088013,0.03909064084291458,-0.04148849844932556,0.0037513538263738155,-0.09502659738063812
AZU1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B3GAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL11B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL2,-0.011539117433130741,0.008271482773125172,0.009277385659515858,-0.004832770675420761,0.0016336914850398898,-0.020089225843548775,-0.006013944745063782,-0.0015208087861537933,0.013712769374251366,0.010374435223639011,0.01588556170463562,0.004633595235645771,-0.0025429169181734324,0.01151773426681757,0.010918321087956429,0.007373052183538675,-0.007770831231027842,-0.02116905152797699,-0.004359809681773186,0.014864171855151653,-0.011457247659564018,0.0037187787238508463,-0.0146668441593647,0.024289289489388466,0.07443330436944962,-0.008880343288183212,-0.0077478052116930485,0.030656596645712852,0.020464792847633362,-0.006946245674043894,-0.013151233084499836,0.05489710718393326,-0.056300029158592224,-0.016292762011289597,-0.005103852599859238,-0.08323085308074951,0.024334687739610672,-0.04250941425561905,0.02388688549399376,-0.0747813731431961,-0.010951931588351727,-0.16212470829486847,-0.143504798412323,-0.2521824836730957,-0.1156734824180603,-0.08428315818309784,0.0932219922542572,0.13645583391189575,0.014640504494309425,-0.023017549887299538
BCL2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIRC3,-0.0016215990763157606,0.012848387472331524,0.0038055910263210535,-0.006291435100138187,0.007586673367768526,-0.01617703214287758,0.012219546362757683,0.012477532029151917,0.01598750613629818,0.007630237378180027,0.01990196295082569,-0.011089053936302662,0.02020861767232418,-0.01582993194460869,-0.011222904548048973,0.0017005031695589423,0.037221431732177734,-0.018302669748663902,0.01402759738266468,0.037806689739227295,0.008166729472577572,0.047660134732723236,0.020291510969400406,-0.008822830393910408,0.00492736604064703,-0.02920166216790676,-0.006569933611899614,0.023394117131829262,-0.024488719180226326,0.015450548380613327,0.01611395552754402,0.01661037839949131,-0.01831118017435074,-0.024586545303463936,0.01406438834965229,0.16056321561336517,-0.005208191461861134,-0.022922420874238014,-0.02175786718726158,-0.01595134660601616,-0.007750034797936678,0.044178299605846405,-0.11647886782884598,-0.0032948919106274843,-0.07749485969543457,0.15901976823806763,-0.007142666727304459,0.22321653366088867,0.06862283498048782,-0.15900680422782898
BLK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLNK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BPI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTLA,-0.0038435773458331823,0.009857620112597942,0.008350488729774952,-0.008140741847455502,0.00029782106867060065,-0.007709885016083717,0.004931541159749031,0.01199635211378336,0.02733396738767624,0.011801213957369328,0.005898748058825731,0.004954575095325708,0.012651761993765831,-0.0026333152782171965,0.03536883369088173,0.018130287528038025,-0.023556433618068695,0.04561620578169823,0.049977827817201614,0.007492933887988329,-0.0069794789887964725,0.0264345221221447,-0.04498758539557457,0.0016055010491982102,-0.005855986848473549,0.01804886944591999,0.01979561150074005,-0.02436719462275505,0.023089302703738213,-0.012039468623697758,-0.021705511957406998,0.003848292166367173,-0.01983477920293808,-0.03980497643351555,0.025957053527235985,0.0034302310086786747,0.019108183681964874,0.026930982246994972,0.012228060513734818,-0.008186297491192818,-0.016759485006332397,0.05859468877315521,0.0526248924434185,-0.0706588476896286,-0.08596164733171463,-0.0859728753566742,0.0290620606392622,0.07761040329933167,-0.04840615391731262,0.00914864894002676
C10orf54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1QA,0.005349626764655113,-0.006361904088407755,0.0011689483653753996,0.061177678406238556,0.055833566933870316,0.004546609241515398,0.06582772731781006,0.031271710991859436,-0.002932033035904169,-0.005707549396902323,0.03287570923566818,-0.011488964781165123,-0.010256070643663406,0.0086336899548769,-0.023161672055721283,-0.055472079664468765,-0.013634617440402508,0.03308987244963646,0.017875295132398605,0.021365299820899963,-0.007326828315854073,0.015838170424103737,-0.013038409873843193,-0.021767716854810715,0.0065369377844035625,0.016403067857027054,-0.002448506886139512,0.022590750828385353,0.005684652365744114,-0.010021360591053963,0.07360690832138062,0.029765702784061432,-0.015404922887682915,0.018301574513316154,-0.0027437936514616013,0.041483763605356216,-0.11191008985042572,0.03287764638662338,-8.705203072167933e-05,0.05117835849523544,-0.011089804582297802,0.0053933244198560715,0.03086177445948124,0.03653484582901001,0.6061097979545593,-0.32789933681488037,0.41599535942077637,0.17012813687324524,0.1200752705335617,-0.04344427213072777
C1QB,0.0011102879652753472,-0.0010090945288538933,0.00038013860466890037,0.012264614924788475,0.023096010088920593,0.00033665847149677575,0.028391798958182335,0.011592705734074116,-0.003966065123677254,-0.00043153256410732865,0.010992974042892456,-0.003532891161739826,-0.007063757162541151,0.0030263520311564207,-0.012037307024002075,-0.01577320694923401,0.00043607703992165625,0.0191485695540905,-0.003465371672064066,0.009526634588837624,0.002847404219210148,0.009112074039876461,-0.0009907075436785817,-0.0173150897026062,0.003582764184102416,0.006211926694959402,-0.0032833614386618137,0.019685007631778717,-0.006507716607302427,0.0008445052080787718,0.0477009043097496,0.02701261267066002,-0.005210926756262779,0.010324803180992603,0.008228182792663574,0.019946126267313957,-0.05519775301218033,0.009617485105991364,-0.009650551714003086,0.022115560248494148,-0.0068836635909974575,0.010965521447360516,0.02193150483071804,0.011249305680394173,0.31526970863342285,-0.1781158298254013,0.21345451474189758,0.08384574949741364,0.06098134070634842,-0.023749230429530144
CASP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBLB,-0.03288149833679199,-0.00974788423627615,-0.005236763507127762,-0.02723492868244648,-0.01164855994284153,-0.033140674233436584,0.006980519276112318,-0.006904937792569399,0.03412272781133652,-0.01397936511784792,0.037499044090509415,-0.018545888364315033,0.018305053934454918,-0.02755097672343254,0.008023764938116074,0.007243134081363678,0.008311444893479347,-0.02081333100795746,-0.008857307024300098,0.11655469983816147,0.026218831539154053,0.06756898760795593,0.01693975180387497,-0.01747499406337738,-0.09967419505119324,0.02189444564282894,0.17962408065795898,0.045420046895742416,0.05293523520231247,-0.006404419429600239,-0.003658574540168047,0.049736201763153076,-0.038923751562833786,0.22930915653705597,-0.27989915013313293,0.41720619797706604,-0.19696924090385437,0.5321137309074402,0.34565529227256775,0.24296221137046814,-0.11039064079523087,0.09252773225307465,-0.056735552847385406,-0.12365996092557907,-0.08281078934669495,0.010935936123132706,-0.014648123644292355,-0.11150261759757996,-0.025286879390478134,-0.10764071345329285
CCL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL2,0.009331019595265388,-0.009614964947104454,-0.007083228323608637,-0.010988540947437286,0.0111152408644557,-0.010252402164041996,0.004197021946310997,-0.006513295695185661,0.0034085034858435392,0.05812312662601471,0.017195850610733032,-0.0018968881340697408,-0.009122904390096664,-0.011022591032087803,0.00426920922473073,0.014575769193470478,0.003639909205958247,0.01795436255633831,-0.0062929606065154076,-0.003938018810003996,0.025285204872488976,0.011492744088172913,-0.02878260239958763,-0.001162670785561204,0.01229261513799429,0.0065651750192046165,0.02076363004744053,-0.016976766288280487,0.007507427595555782,-0.037879083305597305,-0.024407343938946724,0.0008578041451983154,-0.017639104276895523,-0.021050525829195976,0.011168011464178562,0.02579571306705475,0.02163042314350605,-0.0008857017382979393,0.00308209122158587,-0.01142796315252781,0.04502095282077789,0.07943293452262878,0.12341861426830292,0.007477553561329842,-0.06232891604304314,-0.053364746272563934,-0.02396644838154316,0.04780934005975723,-0.06968441605567932,-0.038532547652721405
CCL20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCL4,-0.18213766813278198,-0.0672445297241211,-0.04323812201619148,-0.197549507021904,0.5630640983581543,0.20683935284614563,-0.14011798799037933,-0.1052049994468689,-0.23993456363677979,0.0067726075649261475,-0.18592996895313263,0.09523606300354004,0.5308440327644348,-0.03540639951825142,-0.0750460997223854,0.03802338242530823,-0.2243262529373169,0.008419380523264408,-0.01713572070002556,0.09340821951627731,0.15828733146190643,0.06622844934463501,0.05924969166517258,-0.11097286641597748,-0.06476186215877533,-0.007694159634411335,0.06043737009167671,-0.03030979633331299,-0.07449805736541748,-0.013418923132121563,-0.009388735517859459,-0.03419146314263344,0.01660206727683544,0.057496871799230576,0.019819973036646843,-0.027068166062235832,0.02674081362783909,-0.004978614393621683,-0.009560821577906609,-0.03525426611304283,-0.008605226874351501,0.04397667199373245,-0.023274695500731468,-0.04582805186510086,0.035242896527051926,0.03449644893407822,0.0038521476089954376,0.010267648845911026,-0.010993119329214096,-0.006320637185126543
CCL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCND2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR7|CCR7|AHS0273|pAbO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD11c:B-LY6|ITGAX|AHS0056|pAbO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD127|IL7R|AHS0028|pAbO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
